Time (fs)	,	E-field (MV/cm)
279.60	,	3.23E-01
279.80	,	3.08E-01
280.00	,	2.93E-01
280.20	,	2.78E-01
280.40	,	2.62E-01
280.60	,	2.46E-01
280.80	,	2.29E-01
281.00	,	2.12E-01
281.20	,	1.95E-01
281.40	,	1.78E-01
281.60	,	1.60E-01
281.80	,	1.42E-01
282.00	,	1.24E-01
282.20	,	1.06E-01
282.40	,	8.71E-02
282.60	,	6.85E-02
282.80	,	4.98E-02
283.00	,	3.10E-02
283.20	,	1.22E-02
283.40	,	-6.64E-03
283.60	,	-2.55E-02
283.80	,	-4.43E-02
284.00	,	-6.30E-02
284.20	,	-8.16E-02
284.40	,	-1.00E-01
284.60	,	-1.19E-01
284.80	,	-1.37E-01
285.00	,	-1.55E-01
285.20	,	-1.73E-01
285.40	,	-1.90E-01
285.60	,	-2.07E-01
285.80	,	-2.24E-01
286.00	,	-2.41E-01
286.20	,	-2.57E-01
286.40	,	-2.73E-01
286.60	,	-2.89E-01
286.80	,	-3.04E-01
287.00	,	-3.19E-01
287.20	,	-3.33E-01
287.40	,	-3.47E-01
287.60	,	-3.60E-01
287.80	,	-3.73E-01
288.00	,	-3.85E-01
288.20	,	-3.97E-01
288.40	,	-4.08E-01
288.60	,	-4.19E-01
288.80	,	-4.29E-01
289.00	,	-4.38E-01
289.20	,	-4.47E-01
289.40	,	-4.55E-01
289.60	,	-4.63E-01
289.80	,	-4.69E-01
290.00	,	-4.76E-01
290.20	,	-4.81E-01
290.40	,	-4.86E-01
290.60	,	-4.90E-01
290.80	,	-4.93E-01
291.00	,	-4.96E-01
291.20	,	-4.98E-01
291.40	,	-4.99E-01
291.60	,	-5.00E-01
291.80	,	-5.00E-01
292.00	,	-4.99E-01
292.20	,	-4.97E-01
292.40	,	-4.95E-01
292.60	,	-4.92E-01
292.80	,	-4.89E-01
293.00	,	-4.84E-01
293.20	,	-4.79E-01
293.40	,	-4.74E-01
293.60	,	-4.67E-01
293.80	,	-4.60E-01
294.00	,	-4.53E-01
294.20	,	-4.44E-01
294.40	,	-4.35E-01
294.60	,	-4.26E-01
294.80	,	-4.16E-01
295.00	,	-4.05E-01
295.20	,	-3.93E-01
295.40	,	-3.81E-01
295.60	,	-3.69E-01
295.80	,	-3.56E-01
296.00	,	-3.43E-01
296.20	,	-3.29E-01
296.40	,	-3.14E-01
296.60	,	-2.99E-01
296.80	,	-2.84E-01
297.00	,	-2.68E-01
297.20	,	-2.52E-01
297.40	,	-2.36E-01
297.60	,	-2.19E-01
297.80	,	-2.02E-01
298.00	,	-1.85E-01
298.20	,	-1.67E-01
298.40	,	-1.49E-01
298.60	,	-1.31E-01
298.80	,	-1.13E-01
299.00	,	-9.43E-02
299.20	,	-7.58E-02
299.40	,	-5.71E-02
299.60	,	-3.84E-02
299.80	,	-1.96E-02
300.00	,	-7.24E-04
300.20	,	1.81E-02
300.40	,	3.69E-02
300.60	,	5.57E-02
300.80	,	7.43E-02
301.00	,	9.29E-02
301.20	,	1.11E-01
301.40	,	1.30E-01
301.60	,	1.48E-01
301.80	,	1.66E-01
302.00	,	1.83E-01
302.20	,	2.01E-01
302.40	,	2.18E-01
302.60	,	2.35E-01
302.80	,	2.51E-01
303.00	,	2.67E-01
303.20	,	2.83E-01
303.40	,	2.98E-01
303.60	,	3.13E-01
303.80	,	3.28E-01
304.00	,	3.42E-01
304.20	,	3.55E-01
304.40	,	3.68E-01
304.60	,	3.81E-01
304.80	,	3.93E-01
305.00	,	4.04E-01
305.20	,	4.15E-01
305.40	,	4.25E-01
305.60	,	4.35E-01
305.80	,	4.44E-01
306.00	,	4.52E-01
306.20	,	4.60E-01
306.40	,	4.67E-01
306.60	,	4.73E-01
306.80	,	4.79E-01
307.00	,	4.84E-01
307.20	,	4.88E-01
307.40	,	4.92E-01
307.60	,	4.95E-01
307.80	,	4.97E-01
308.00	,	4.99E-01
308.20	,	5.00E-01
308.40	,	5.00E-01
308.60	,	4.99E-01
308.80	,	4.98E-01
309.00	,	4.96E-01
309.20	,	4.94E-01
309.40	,	4.90E-01
309.60	,	4.86E-01
309.80	,	4.81E-01
310.00	,	4.76E-01
310.20	,	4.70E-01
310.40	,	4.63E-01
310.60	,	4.56E-01
310.80	,	4.48E-01
311.00	,	4.39E-01
311.20	,	4.30E-01
311.40	,	4.20E-01
311.60	,	4.09E-01
311.80	,	3.98E-01
312.00	,	3.86E-01
312.20	,	3.74E-01
312.40	,	3.61E-01
312.60	,	3.48E-01
312.80	,	3.34E-01
313.00	,	3.20E-01
313.20	,	3.05E-01
313.40	,	2.90E-01
313.60	,	2.75E-01
313.80	,	2.59E-01
314.00	,	2.42E-01
314.20	,	2.26E-01
314.40	,	2.09E-01
314.60	,	1.91E-01
314.80	,	1.74E-01
315.00	,	1.56E-01
315.20	,	1.38E-01
315.40	,	1.20E-01
315.60	,	1.02E-01
315.80	,	8.30E-02
316.00	,	6.44E-02
316.20	,	4.57E-02
316.40	,	2.69E-02
316.60	,	8.09E-03
316.80	,	-1.07E-02
317.00	,	-2.96E-02
317.20	,	-4.83E-02
317.40	,	-6.71E-02
317.60	,	-8.57E-02
317.80	,	-1.04E-01
318.00	,	-1.23E-01
318.20	,	-1.41E-01
318.40	,	-1.59E-01
318.60	,	-1.76E-01
318.80	,	-1.94E-01
319.00	,	-2.11E-01
319.20	,	-2.28E-01
319.40	,	-2.45E-01
319.60	,	-2.61E-01
319.80	,	-2.77E-01
320.00	,	-2.92E-01
320.20	,	-3.07E-01
320.40	,	-3.22E-01
320.60	,	-3.36E-01
320.80	,	-3.50E-01
321.00	,	-3.63E-01
321.20	,	-3.76E-01
321.40	,	-3.88E-01
321.60	,	-4.00E-01
321.80	,	-4.11E-01
322.00	,	-4.21E-01
322.20	,	-4.31E-01
322.40	,	-4.40E-01
322.60	,	-4.49E-01
322.80	,	-4.57E-01
323.00	,	-4.64E-01
323.20	,	-4.71E-01
323.40	,	-4.77E-01
323.60	,	-4.82E-01
323.80	,	-4.87E-01
324.00	,	-4.91E-01
324.20	,	-4.94E-01
324.40	,	-4.97E-01
324.60	,	-4.98E-01
324.80	,	-5.00E-01
325.00	,	-5.00E-01
325.20	,	-5.00E-01
325.40	,	-4.99E-01
325.60	,	-4.97E-01
325.80	,	-4.95E-01
326.00	,	-4.92E-01
326.20	,	-4.88E-01
326.40	,	-4.83E-01
326.60	,	-4.78E-01
326.80	,	-4.72E-01
327.00	,	-4.66E-01
327.20	,	-4.59E-01
327.40	,	-4.51E-01
327.60	,	-4.42E-01
327.80	,	-4.33E-01
328.00	,	-4.24E-01
328.20	,	-4.13E-01
328.40	,	-4.02E-01
328.60	,	-3.91E-01
328.80	,	-3.79E-01
329.00	,	-3.66E-01
329.20	,	-3.53E-01
329.40	,	-3.40E-01
329.60	,	-3.26E-01
329.80	,	-3.11E-01
330.00	,	-2.96E-01
330.20	,	-2.81E-01
330.40	,	-2.65E-01
330.60	,	-2.49E-01
330.80	,	-2.32E-01
331.00	,	-2.15E-01
331.20	,	-1.98E-01
331.40	,	-1.81E-01
331.60	,	-1.63E-01
331.80	,	-1.45E-01
332.00	,	-1.27E-01
332.20	,	-1.09E-01
332.40	,	-9.03E-02
332.60	,	-7.17E-02
332.80	,	-5.30E-02
333.00	,	-3.43E-02
333.20	,	-1.55E-02
333.40	,	3.38E-03
333.60	,	2.22E-02
333.80	,	4.10E-02
334.00	,	5.97E-02
334.20	,	7.84E-02
334.40	,	9.69E-02
334.60	,	1.15E-01
334.80	,	1.34E-01
335.00	,	1.52E-01
335.20	,	1.69E-01
335.40	,	1.87E-01
335.60	,	2.04E-01
335.80	,	2.21E-01
336.00	,	2.38E-01
336.20	,	2.55E-01
336.40	,	2.71E-01
336.60	,	2.86E-01
336.80	,	3.01E-01
337.00	,	3.16E-01
337.20	,	3.31E-01
337.40	,	3.45E-01
337.60	,	3.58E-01
337.80	,	3.71E-01
338.00	,	3.83E-01
338.20	,	3.95E-01
338.40	,	4.06E-01
338.60	,	4.17E-01
338.80	,	4.27E-01
339.00	,	4.37E-01
339.20	,	4.45E-01
339.40	,	4.54E-01
339.60	,	4.61E-01
339.80	,	4.68E-01
340.00	,	4.74E-01
340.20	,	4.80E-01
340.40	,	4.85E-01
340.60	,	4.89E-01
340.80	,	4.93E-01
341.00	,	4.96E-01
341.20	,	4.98E-01
341.40	,	4.99E-01
341.60	,	5.00E-01
341.80	,	5.00E-01
342.00	,	4.99E-01
342.20	,	4.98E-01
342.40	,	4.96E-01
342.60	,	4.93E-01
342.80	,	4.89E-01
343.00	,	4.85E-01
343.20	,	4.80E-01
343.40	,	4.75E-01
343.60	,	4.68E-01
343.80	,	4.62E-01
344.00	,	4.54E-01
344.20	,	4.46E-01
344.40	,	4.37E-01
344.60	,	4.27E-01
344.80	,	4.17E-01
345.00	,	4.07E-01
345.20	,	3.95E-01
345.40	,	3.84E-01
345.60	,	3.71E-01
345.80	,	3.58E-01
346.00	,	3.45E-01
346.20	,	3.31E-01
346.40	,	3.17E-01
346.60	,	3.02E-01
346.80	,	2.87E-01
347.00	,	2.71E-01
347.20	,	2.55E-01
347.40	,	2.39E-01
347.60	,	2.22E-01
347.80	,	2.05E-01
348.00	,	1.88E-01
348.20	,	1.70E-01
348.40	,	1.52E-01
348.60	,	1.34E-01
348.80	,	1.16E-01
349.00	,	9.75E-02
349.20	,	7.90E-02
349.40	,	6.03E-02
349.60	,	4.16E-02
349.80	,	2.28E-02
350.00	,	3.98E-03
350.20	,	-1.49E-02
350.40	,	-3.37E-02
350.60	,	-5.24E-02
350.80	,	-7.11E-02
351.00	,	-8.97E-02
351.20	,	-1.08E-01
351.40	,	-1.26E-01
351.60	,	-1.45E-01
351.80	,	-1.63E-01
352.00	,	-1.80E-01
352.20	,	-1.98E-01
352.40	,	-2.15E-01
352.60	,	-2.32E-01
352.80	,	-2.48E-01
353.00	,	-2.64E-01
353.20	,	-2.80E-01
353.40	,	-2.96E-01
353.60	,	-3.11E-01
353.80	,	-3.25E-01
354.00	,	-3.39E-01
354.20	,	-3.53E-01
354.40	,	-3.66E-01
354.60	,	-3.78E-01
354.80	,	-3.90E-01
355.00	,	-4.02E-01
355.20	,	-4.13E-01
355.40	,	-4.23E-01
355.60	,	-4.33E-01
355.80	,	-4.42E-01
356.00	,	-4.51E-01
356.20	,	-4.58E-01
356.40	,	-4.66E-01
356.60	,	-4.72E-01
356.80	,	-4.78E-01
357.00	,	-4.83E-01
357.20	,	-4.88E-01
357.40	,	-4.91E-01
357.60	,	-4.95E-01
357.80	,	-4.97E-01
358.00	,	-4.99E-01
358.20	,	-5.00E-01
358.40	,	-5.00E-01
358.60	,	-5.00E-01
358.80	,	-4.98E-01
359.00	,	-4.97E-01
359.20	,	-4.94E-01
359.40	,	-4.91E-01
359.60	,	-4.87E-01
359.80	,	-4.82E-01
360.00	,	-4.77E-01
360.20	,	-4.71E-01
360.40	,	-4.64E-01
360.60	,	-4.57E-01
360.80	,	-4.49E-01
361.00	,	-4.40E-01
361.20	,	-4.31E-01
361.40	,	-4.21E-01
361.60	,	-4.11E-01
361.80	,	-4.00E-01
362.00	,	-3.88E-01
362.20	,	-3.76E-01
362.40	,	-3.63E-01
362.60	,	-3.50E-01
362.80	,	-3.37E-01
363.00	,	-3.22E-01
363.20	,	-3.08E-01
363.40	,	-2.93E-01
363.60	,	-2.77E-01
363.80	,	-2.61E-01
364.00	,	-2.45E-01
364.20	,	-2.29E-01
364.40	,	-2.12E-01
364.60	,	-1.94E-01
364.80	,	-1.77E-01
365.00	,	-1.59E-01
365.20	,	-1.41E-01
365.40	,	-1.23E-01
365.60	,	-1.05E-01
365.80	,	-8.63E-02
366.00	,	-6.77E-02
366.20	,	-4.89E-02
366.40	,	-3.02E-02
366.60	,	-1.13E-02
366.80	,	7.49E-03
367.00	,	2.63E-02
367.20	,	4.51E-02
367.40	,	6.38E-02
367.60	,	8.25E-02
367.80	,	1.01E-01
368.00	,	1.19E-01
368.20	,	1.38E-01
368.40	,	1.56E-01
368.60	,	1.73E-01
368.80	,	1.91E-01
369.00	,	2.08E-01
369.20	,	2.25E-01
369.40	,	2.42E-01
369.60	,	2.58E-01
369.80	,	2.74E-01
370.00	,	2.90E-01
370.20	,	3.05E-01
370.40	,	3.19E-01
370.60	,	3.34E-01
370.80	,	3.48E-01
371.00	,	3.61E-01
371.20	,	3.74E-01
371.40	,	3.86E-01
371.60	,	3.98E-01
371.80	,	4.09E-01
372.00	,	4.19E-01
372.20	,	4.29E-01
372.40	,	4.39E-01
372.60	,	4.47E-01
372.80	,	4.55E-01
373.00	,	4.63E-01
373.20	,	4.70E-01
373.40	,	4.76E-01
373.60	,	4.81E-01
373.80	,	4.86E-01
374.00	,	4.90E-01
374.20	,	4.93E-01
374.40	,	4.96E-01
374.60	,	4.98E-01
374.80	,	4.99E-01
375.00	,	5.00E-01
375.20	,	5.00E-01
375.40	,	4.99E-01
375.60	,	4.97E-01
375.80	,	4.95E-01
376.00	,	4.92E-01
376.20	,	4.89E-01
376.40	,	4.84E-01
376.60	,	4.79E-01
376.80	,	4.73E-01
377.00	,	4.67E-01
377.20	,	4.60E-01
377.40	,	4.52E-01
377.60	,	4.44E-01
377.80	,	4.35E-01
378.00	,	4.25E-01
378.20	,	4.15E-01
378.40	,	4.04E-01
378.60	,	3.93E-01
378.80	,	3.81E-01
379.00	,	3.68E-01
379.20	,	3.55E-01
379.40	,	3.42E-01
379.60	,	3.28E-01
379.80	,	3.14E-01
380.00	,	2.99E-01
380.20	,	2.83E-01
380.40	,	2.68E-01
380.60	,	2.52E-01
380.80	,	2.35E-01
381.00	,	2.18E-01
381.20	,	2.01E-01
381.40	,	1.84E-01
381.60	,	1.66E-01
381.80	,	1.48E-01
382.00	,	1.30E-01
382.20	,	1.12E-01
382.40	,	9.35E-02
382.60	,	7.49E-02
382.80	,	5.63E-02
383.00	,	3.75E-02
383.20	,	1.87E-02
383.40	,	-1.22E-04
383.60	,	-1.90E-02
383.80	,	-3.78E-02
384.00	,	-5.65E-02
384.20	,	-7.52E-02
384.40	,	-9.37E-02
384.60	,	-1.12E-01
384.80	,	-1.30E-01
385.00	,	-1.49E-01
385.20	,	-1.66E-01
385.40	,	-1.84E-01
385.60	,	-2.01E-01
385.80	,	-2.19E-01
386.00	,	-2.35E-01
386.20	,	-2.52E-01
386.40	,	-2.68E-01
386.60	,	-2.84E-01
386.80	,	-2.99E-01
387.00	,	-3.14E-01
387.20	,	-3.28E-01
387.40	,	-3.42E-01
387.60	,	-3.56E-01
387.80	,	-3.69E-01
388.00	,	-3.81E-01
388.20	,	-3.93E-01
388.40	,	-4.04E-01
388.60	,	-4.15E-01
388.80	,	-4.25E-01
389.00	,	-4.35E-01
389.20	,	-4.44E-01
389.40	,	-4.52E-01
389.60	,	-4.60E-01
389.80	,	-4.67E-01
390.00	,	-4.73E-01
390.20	,	-4.79E-01
390.40	,	-4.84E-01
390.60	,	-4.89E-01
390.80	,	-4.92E-01
391.00	,	-4.95E-01
391.20	,	-4.97E-01
391.40	,	-4.99E-01
391.60	,	-5.00E-01
391.80	,	-5.00E-01
392.00	,	-4.99E-01
392.20	,	-4.98E-01
392.40	,	-4.96E-01
392.60	,	-4.93E-01
392.80	,	-4.90E-01
393.00	,	-4.86E-01
393.20	,	-4.81E-01
393.40	,	-4.76E-01
393.60	,	-4.70E-01
393.80	,	-4.63E-01
394.00	,	-4.55E-01
394.20	,	-4.47E-01
394.40	,	-4.38E-01
394.60	,	-4.29E-01
394.80	,	-4.19E-01
395.00	,	-4.09E-01
395.20	,	-3.97E-01
395.40	,	-3.86E-01
395.60	,	-3.73E-01
395.80	,	-3.61E-01
396.00	,	-3.47E-01
396.20	,	-3.34E-01
396.40	,	-3.19E-01
396.60	,	-3.05E-01
396.80	,	-2.89E-01
397.00	,	-2.74E-01
397.20	,	-2.58E-01
397.40	,	-2.42E-01
397.60	,	-2.25E-01
397.80	,	-2.08E-01
398.00	,	-1.91E-01
398.20	,	-1.73E-01
398.40	,	-1.55E-01
398.60	,	-1.37E-01
398.80	,	-1.19E-01
399.00	,	-1.01E-01
399.20	,	-8.22E-02
399.40	,	-6.36E-02
399.60	,	-4.49E-02
399.80	,	-2.61E-02
400.00	,	-7.24E-03
400.20	,	1.16E-02
400.40	,	3.04E-02
400.60	,	4.92E-02
400.80	,	6.79E-02
401.00	,	8.65E-02
401.20	,	1.05E-01
401.40	,	1.23E-01
401.60	,	1.41E-01
401.80	,	1.59E-01
402.00	,	1.77E-01
402.20	,	1.95E-01
402.40	,	2.12E-01
402.60	,	2.29E-01
402.80	,	2.45E-01
403.00	,	2.62E-01
403.20	,	2.77E-01
403.40	,	2.93E-01
403.60	,	3.08E-01
403.80	,	3.23E-01
404.00	,	3.37E-01
404.20	,	3.50E-01
404.40	,	3.64E-01
404.60	,	3.76E-01
404.80	,	3.88E-01
405.00	,	4.00E-01
405.20	,	4.11E-01
405.40	,	4.21E-01
405.60	,	4.31E-01
405.80	,	4.41E-01
406.00	,	4.49E-01
406.20	,	4.57E-01
406.40	,	4.64E-01
406.60	,	4.71E-01
406.80	,	4.77E-01
407.00	,	4.82E-01
407.20	,	4.87E-01
407.40	,	4.91E-01
407.60	,	4.94E-01
407.80	,	4.97E-01
408.00	,	4.98E-01
408.20	,	5.00E-01
408.40	,	5.00E-01
408.60	,	5.00E-01
408.80	,	4.99E-01
409.00	,	4.97E-01
409.20	,	4.95E-01
409.40	,	4.91E-01
409.60	,	4.88E-01
409.80	,	4.83E-01
410.00	,	4.78E-01
410.20	,	4.72E-01
410.40	,	4.65E-01
410.60	,	4.58E-01
410.80	,	4.50E-01
411.00	,	4.42E-01
411.20	,	4.33E-01
411.40	,	4.23E-01
411.60	,	4.13E-01
411.80	,	4.02E-01
412.00	,	3.90E-01
412.20	,	3.78E-01
412.40	,	3.66E-01
412.60	,	3.53E-01
412.80	,	3.39E-01
413.00	,	3.25E-01
413.20	,	3.10E-01
413.40	,	2.95E-01
413.60	,	2.80E-01
413.80	,	2.64E-01
414.00	,	2.48E-01
414.20	,	2.31E-01
414.40	,	2.15E-01
414.60	,	1.97E-01
414.80	,	1.80E-01
415.00	,	1.62E-01
415.20	,	1.44E-01
415.40	,	1.26E-01
415.60	,	1.08E-01
415.80	,	8.95E-02
416.00	,	7.09E-02
416.20	,	5.22E-02
416.40	,	3.34E-02
416.60	,	1.46E-02
416.80	,	-4.23E-03
417.00	,	-2.31E-02
417.20	,	-4.19E-02
417.40	,	-6.06E-02
417.60	,	-7.92E-02
417.80	,	-9.78E-02
418.00	,	-1.16E-01
418.20	,	-1.34E-01
418.40	,	-1.52E-01
418.60	,	-1.70E-01
418.80	,	-1.88E-01
419.00	,	-2.05E-01
419.20	,	-2.22E-01
419.40	,	-2.39E-01
419.60	,	-2.55E-01
419.80	,	-2.71E-01
420.00	,	-2.87E-01
420.20	,	-3.02E-01
420.40	,	-3.17E-01
420.60	,	-3.31E-01
420.80	,	-3.45E-01
421.00	,	-3.59E-01
421.20	,	-3.71E-01
421.40	,	-3.84E-01
421.60	,	-3.96E-01
421.80	,	-4.07E-01
422.00	,	-4.17E-01
422.20	,	-4.28E-01
422.40	,	-4.37E-01
422.60	,	-4.46E-01
422.80	,	-4.54E-01
423.00	,	-4.62E-01
423.20	,	-4.69E-01
423.40	,	-4.75E-01
423.60	,	-4.80E-01
423.80	,	-4.85E-01
424.00	,	-4.89E-01
424.20	,	-4.93E-01
424.40	,	-4.96E-01
424.60	,	-4.98E-01
424.80	,	-4.99E-01
425.00	,	-5.00E-01
425.20	,	-5.00E-01
425.40	,	-4.99E-01
425.60	,	-4.98E-01
425.80	,	-4.96E-01
426.00	,	-4.93E-01
426.20	,	-4.89E-01
426.40	,	-4.85E-01
426.60	,	-4.80E-01
426.80	,	-4.74E-01
427.00	,	-4.68E-01
427.20	,	-4.61E-01
427.40	,	-4.54E-01
427.60	,	-4.45E-01
427.80	,	-4.36E-01
428.00	,	-4.27E-01
428.20	,	-4.17E-01
428.40	,	-4.06E-01
428.60	,	-3.95E-01
428.80	,	-3.83E-01
429.00	,	-3.71E-01
429.20	,	-3.58E-01
429.40	,	-3.44E-01
429.60	,	-3.30E-01
429.80	,	-3.16E-01
430.00	,	-3.01E-01
430.20	,	-2.86E-01
430.40	,	-2.70E-01
430.60	,	-2.54E-01
430.80	,	-2.38E-01
431.00	,	-2.21E-01
431.20	,	-2.04E-01
431.40	,	-1.87E-01
431.60	,	-1.69E-01
431.80	,	-1.51E-01
432.00	,	-1.33E-01
432.20	,	-1.15E-01
432.40	,	-9.67E-02
432.60	,	-7.82E-02
432.80	,	-5.95E-02
433.00	,	-4.08E-02
433.20	,	-2.20E-02
433.40	,	-3.14E-03
433.60	,	1.57E-02
433.80	,	3.45E-02
434.00	,	5.33E-02
434.20	,	7.20E-02
434.40	,	9.05E-02
434.60	,	1.09E-01
434.80	,	1.27E-01
435.00	,	1.45E-01
435.20	,	1.63E-01
435.40	,	1.81E-01
435.60	,	1.98E-01
435.80	,	2.16E-01
436.00	,	2.32E-01
436.20	,	2.49E-01
436.40	,	2.65E-01
436.60	,	2.81E-01
436.80	,	2.96E-01
437.00	,	3.11E-01
437.20	,	3.26E-01
437.40	,	3.40E-01
437.60	,	3.53E-01
437.80	,	3.66E-01
438.00	,	3.79E-01
438.20	,	3.91E-01
438.40	,	4.02E-01
438.60	,	4.13E-01
438.80	,	4.24E-01
439.00	,	4.33E-01
439.20	,	4.42E-01
439.40	,	4.51E-01
439.60	,	4.59E-01
439.80	,	4.66E-01
440.00	,	4.72E-01
440.20	,	4.78E-01
440.40	,	4.83E-01
440.60	,	4.88E-01
440.80	,	4.92E-01
441.00	,	4.95E-01
441.20	,	4.97E-01
441.40	,	4.99E-01
441.60	,	5.00E-01
441.80	,	5.00E-01
442.00	,	5.00E-01
442.20	,	4.98E-01
442.40	,	4.97E-01
442.60	,	4.94E-01
442.80	,	4.91E-01
443.00	,	4.87E-01
443.20	,	4.82E-01
443.40	,	4.77E-01
443.60	,	4.71E-01
443.80	,	4.64E-01
444.00	,	4.57E-01
444.20	,	4.49E-01
444.40	,	4.40E-01
444.60	,	4.31E-01
444.80	,	4.21E-01
445.00	,	4.10E-01
445.20	,	3.99E-01
445.40	,	3.88E-01
445.60	,	3.76E-01
445.80	,	3.63E-01
446.00	,	3.50E-01
446.20	,	3.36E-01
446.40	,	3.22E-01
446.60	,	3.07E-01
446.80	,	2.92E-01
447.00	,	2.77E-01
447.20	,	2.61E-01
447.40	,	2.44E-01
447.60	,	2.28E-01
447.80	,	2.11E-01
448.00	,	1.94E-01
448.20	,	1.76E-01
448.40	,	1.58E-01
448.60	,	1.40E-01
448.80	,	1.22E-01
449.00	,	1.04E-01
449.20	,	8.54E-02
449.40	,	6.68E-02
449.60	,	4.81E-02
449.80	,	2.93E-02
450.00	,	1.05E-02
450.20	,	-8.33E-03
450.40	,	-2.72E-02
450.60	,	-4.59E-02
450.80	,	-6.47E-02
451.00	,	-8.33E-02
451.20	,	-1.02E-01
451.40	,	-1.20E-01
451.60	,	-1.38E-01
451.80	,	-1.56E-01
452.00	,	-1.74E-01
452.20	,	-1.92E-01
452.40	,	-2.09E-01
452.60	,	-2.26E-01
452.80	,	-2.43E-01
453.00	,	-2.59E-01
453.20	,	-2.75E-01
453.40	,	-2.90E-01
453.60	,	-3.05E-01
453.80	,	-3.20E-01
454.00	,	-3.34E-01
454.20	,	-3.48E-01
454.40	,	-3.61E-01
454.60	,	-3.74E-01
454.80	,	-3.86E-01
455.00	,	-3.98E-01
455.20	,	-4.09E-01
455.40	,	-4.20E-01
455.60	,	-4.30E-01
455.80	,	-4.39E-01
456.00	,	-4.48E-01
456.20	,	-4.56E-01
456.40	,	-4.63E-01
456.60	,	-4.70E-01
456.80	,	-4.76E-01
457.00	,	-4.81E-01
457.20	,	-4.86E-01
457.40	,	-4.90E-01
457.60	,	-4.94E-01
457.80	,	-4.96E-01
458.00	,	-4.98E-01
458.20	,	-4.99E-01
458.40	,	-5.00E-01
458.60	,	-5.00E-01
458.80	,	-4.99E-01
459.00	,	-4.97E-01
459.20	,	-4.95E-01
459.40	,	-4.92E-01
459.60	,	-4.88E-01
459.80	,	-4.84E-01
460.00	,	-4.79E-01
460.20	,	-4.73E-01
460.40	,	-4.67E-01
460.60	,	-4.60E-01
460.80	,	-4.52E-01
461.00	,	-4.43E-01
461.20	,	-4.34E-01
461.40	,	-4.25E-01
461.60	,	-4.15E-01
461.80	,	-4.04E-01
462.00	,	-3.92E-01
462.20	,	-3.80E-01
462.40	,	-3.68E-01
462.60	,	-3.55E-01
462.80	,	-3.41E-01
463.00	,	-3.27E-01
463.20	,	-3.13E-01
463.40	,	-2.98E-01
463.60	,	-2.83E-01
463.80	,	-2.67E-01
464.00	,	-2.51E-01
464.20	,	-2.34E-01
464.40	,	-2.18E-01
464.60	,	-2.00E-01
464.80	,	-1.83E-01
465.00	,	-1.65E-01
465.20	,	-1.47E-01
465.40	,	-1.29E-01
465.60	,	-1.11E-01
465.80	,	-9.27E-02
466.00	,	-7.41E-02
466.20	,	-5.54E-02
466.40	,	-3.67E-02
466.60	,	-1.79E-02
466.80	,	9.67E-04
467.00	,	1.98E-02
467.20	,	3.86E-02
467.40	,	5.73E-02
467.60	,	7.60E-02
467.80	,	9.46E-02
468.00	,	1.13E-01
468.20	,	1.31E-01
468.40	,	1.49E-01
468.60	,	1.67E-01
468.80	,	1.85E-01
469.00	,	2.02E-01
469.20	,	2.19E-01
469.40	,	2.36E-01
469.60	,	2.52E-01
469.80	,	2.69E-01
470.00	,	2.84E-01
470.20	,	3.00E-01
470.40	,	3.14E-01
470.60	,	3.29E-01
470.80	,	3.43E-01
471.00	,	3.56E-01
471.20	,	3.69E-01
471.40	,	3.82E-01
471.60	,	3.94E-01
471.80	,	4.05E-01
472.00	,	4.16E-01
472.20	,	4.26E-01
472.40	,	4.35E-01
472.60	,	4.44E-01
472.80	,	4.53E-01
473.00	,	4.60E-01
473.20	,	4.67E-01
473.40	,	4.74E-01
473.60	,	4.79E-01
473.80	,	4.84E-01
474.00	,	4.89E-01
474.20	,	4.92E-01
474.40	,	4.95E-01
474.60	,	4.98E-01
474.80	,	4.99E-01
475.00	,	5.00E-01
475.20	,	5.00E-01
475.40	,	4.99E-01
475.60	,	4.98E-01
475.80	,	4.96E-01
476.00	,	4.93E-01
476.20	,	4.90E-01
476.40	,	4.86E-01
476.60	,	4.81E-01
476.80	,	4.75E-01
477.00	,	4.69E-01
477.20	,	4.62E-01
477.40	,	4.55E-01
477.60	,	4.47E-01
477.80	,	4.38E-01
478.00	,	4.29E-01
478.20	,	4.19E-01
478.40	,	4.08E-01
478.60	,	3.97E-01
478.80	,	3.85E-01
479.00	,	3.73E-01
479.20	,	3.60E-01
479.40	,	3.47E-01
479.60	,	3.33E-01
479.80	,	3.19E-01
480.00	,	3.04E-01
480.20	,	2.89E-01
480.40	,	2.73E-01
480.60	,	2.57E-01
480.80	,	2.41E-01
481.00	,	2.24E-01
481.20	,	2.07E-01
481.40	,	1.90E-01
481.60	,	1.72E-01
481.80	,	1.55E-01
482.00	,	1.36E-01
482.20	,	1.18E-01
482.40	,	9.99E-02
482.60	,	8.14E-02
482.80	,	6.27E-02
483.00	,	4.40E-02
483.20	,	2.52E-02
483.40	,	6.40E-03
483.60	,	-1.24E-02
483.80	,	-3.13E-02
484.00	,	-5.00E-02
484.20	,	-6.87E-02
484.40	,	-8.73E-02
484.60	,	-1.06E-01
484.80	,	-1.24E-01
485.00	,	-1.42E-01
485.20	,	-1.60E-01
485.40	,	-1.78E-01
485.60	,	-1.95E-01
485.80	,	-2.13E-01
486.00	,	-2.30E-01
486.20	,	-2.46E-01
486.40	,	-2.62E-01
