Time (fs)	,	Dipole 10A	,	Dipole 3A	,	3A-10A
19.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
19.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
20.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
20.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
20.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
20.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
20.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
21.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
21.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
21.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
21.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
21.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
22.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
22.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
22.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
22.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
22.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
23.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
23.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
23.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
23.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
23.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
24.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
24.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
24.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
24.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
24.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
25.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
25.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
25.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
25.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
25.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
26.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
26.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
26.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
26.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
26.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
27.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
