Time (fs)	,	Dipole 10A	,	Dipole 3A	,	3A-10A
86.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
86.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
86.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
87.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
87.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
87.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
87.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
87.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
88.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
88.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
88.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
88.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
88.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
89.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
89.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
89.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
89.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
89.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
90.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
90.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
90.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
90.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
90.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
91.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
91.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
91.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
91.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
91.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
92.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
92.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
92.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
92.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
92.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
93.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
93.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
93.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
93.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
93.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
94.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
94.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
94.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
94.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
94.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
95.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
95.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
95.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
95.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
95.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
96.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
96.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
96.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
96.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
96.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
97.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
97.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
97.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
97.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
97.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
98.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
98.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
98.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
98.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
98.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
99.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
99.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
99.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
99.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
99.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
100.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
100.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
100.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
100.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
100.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
101.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
101.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
101.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
101.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
101.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
102.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
102.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
102.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
102.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
102.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
103.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
103.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
103.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
103.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
103.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
104.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
104.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
104.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
104.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
104.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
105.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
105.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
105.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
105.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
105.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
106.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
106.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
106.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
106.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
106.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
107.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
107.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
107.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
107.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
107.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
108.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
108.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
108.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
108.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
108.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
109.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
109.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
109.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
109.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
109.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
110.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
110.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
110.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
110.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
110.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
111.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
111.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
111.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
111.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
111.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
112.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
112.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
112.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
112.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
112.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
113.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
113.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
113.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
113.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
113.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
114.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
114.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
114.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
114.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
114.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
115.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
115.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
115.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
115.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
115.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
116.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
116.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
116.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
116.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
116.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
117.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
117.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
117.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
117.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
117.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
118.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
118.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
118.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
118.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
118.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
119.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
119.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
119.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
119.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
119.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
120.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
120.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
120.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
120.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
120.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
121.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
121.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
121.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
121.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
121.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
122.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
122.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
122.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
122.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
122.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
123.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
123.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
123.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
123.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
123.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
124.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
124.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
124.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
124.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
124.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
125.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
125.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
125.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
125.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
125.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
126.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
126.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
126.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
126.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
126.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
127.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
127.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
127.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
127.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
127.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
128.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
128.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
128.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
128.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
128.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
129.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
129.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
129.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
129.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
129.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
130.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
130.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
130.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
130.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
130.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
131.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
131.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
131.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
131.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
131.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
132.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
132.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
132.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
132.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
132.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
133.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
133.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
133.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
133.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
133.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
134.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
134.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
134.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
134.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
134.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
135.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
135.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
135.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
135.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
135.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
136.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
136.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
136.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
136.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
136.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
137.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
137.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
137.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
137.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
137.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
138.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
138.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
138.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
138.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
138.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
139.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
139.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
139.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
139.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
139.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
140.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
140.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
140.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
140.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
140.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
141.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
141.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
141.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
141.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
141.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
142.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
142.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
142.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
142.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
142.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
143.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
143.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
143.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
143.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
143.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
144.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
144.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
144.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
144.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
144.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
145.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
145.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
145.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
145.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
145.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
146.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
146.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
146.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
146.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
146.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
147.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
147.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
147.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
147.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
147.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
148.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
148.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
148.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
148.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
148.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
149.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
149.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
149.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
149.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
149.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
150.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
150.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
150.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
150.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
150.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
151.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
151.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
151.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
151.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
151.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
152.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
152.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
152.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
152.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
152.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
153.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
153.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
153.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
153.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
153.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
154.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
154.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
154.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
154.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
154.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
155.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
155.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
155.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
155.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
155.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
156.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
156.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
156.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
156.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
156.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
157.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
157.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
157.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
157.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
157.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
158.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
158.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
158.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
158.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
158.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
159.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
159.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
159.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
159.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
159.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
160.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
160.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
160.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
160.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
160.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
161.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
161.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
161.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
161.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
161.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
162.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
162.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
162.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
162.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
162.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
163.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
163.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
163.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
163.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
163.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
164.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
164.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
164.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
164.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
164.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
165.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
165.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
165.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
165.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
165.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
166.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
166.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
166.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
166.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
166.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
167.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
167.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
167.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
167.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
167.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
168.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
168.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
168.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
168.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
168.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
169.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
169.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
169.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
169.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
169.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
170.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
170.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
170.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
170.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
170.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
171.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
171.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
171.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
171.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
171.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
172.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
172.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
172.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
172.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
172.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
173.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
173.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
173.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
